Year,Sector,Total Return (%),Annualized Total Return (%),Annual Volatility (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Best Day (%),Worst Day (%),Beta,Alpha
2019,36,55.302,55.302,26.506,1.664,2.482,-17.012,5.714,-5.986,1.75,-0.002
2020,36,29.162,29.162,46.0,0.556,0.74,-40.94,10.102,-18.212,1.214,0.083
2021,36,31.1,31.1,25.93,1.136,1.494,-15.234,5.041,-5.964,1.715,-0.164
2016,4,-2.661,-2.661,17.055,-0.159,-0.212,-14.885,2.888,-3.625,0.992,-0.132
2017,4,11.368,11.368,9.925,1.089,1.605,-6.041,2.157,-1.827,0.657,-0.003
2018,4,-9.398,-9.398,15.907,-0.623,-0.802,-15.633,3.566,-3.718,0.655,-0.052
2019,4,26.08,26.08,11.555,2.01,2.885,-4.697,2.176,-2.819,0.59,0.083
2020,4,-23.637,-23.637,52.284,-0.516,-0.664,-54.227,12.036,-21.567,1.215,-0.443
2021,4,50.497,50.497,15.149,2.935,4.335,-5.643,3.382,-3.087,0.803,0.257
2016,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,5,8.433,8.433,5.318,1.522,5.43,-1.491,4.143,-1.491,0.002,0.081
2021,5,49.577,49.577,47.399,0.924,1.304,-44.568,16.492,-9.365,1.908,-0.062
2016,6,2.736,2.736,19.602,0.138,0.188,-12.477,3.285,-4.814,1.155,-0.094
2017,6,-3.991,-3.991,15.881,-0.258,-0.344,-18.93,2.586,-5.625,1.027,-0.216
2018,6,-12.213,-12.213,18.935,-0.691,-0.906,-21.978,4.095,-4.239,0.867,-0.068
2019,6,26.781,26.781,14.997,1.585,2.287,-11.073,2.596,-3.077,0.895,0.011
2020,6,-5.607,-5.607,45.917,-0.126,-0.165,-54.567,14.592,-17.507,1.123,-0.217
2021,6,54.493,54.493,19.207,2.463,3.502,-7.757,3.44,-4.447,1.044,0.22
2016,7,22.969,22.969,28.579,0.726,0.998,-25.655,5.316,-8.992,1.742,0.025
2017,7,13.801,13.801,17.352,0.748,1.086,-11.135,3.72,-4.856,1.679,-0.156
2018,7,-33.033,-33.033,23.613,-1.705,-2.112,-42.575,4.143,-5.15,1.107,-0.323
2019,7,41.169,41.169,22.481,1.537,2.271,-14.297,5.012,-4.982,1.37,-0.001
2020,7,-20.124,-20.124,59.39,-0.378,-0.499,-58.823,15.16,-19.346,1.451,-0.431
2021,7,30.048,30.048,22.218,1.286,1.811,-14.627,5.288,-4.877,0.973,0.036
2016,8,32.686,32.686,24.823,1.144,1.602,-19.297,4.822,-7.775,1.446,0.133
2017,8,13.313,13.313,16.89,0.743,1.043,-14.548,3.189,-4.5,1.609,-0.148
2018,8,-21.569,-21.569,21.455,-1.137,-1.421,-33.367,4.784,-5.414,0.969,-0.174
2019,8,29.006,29.006,19.995,1.276,1.774,-14.419,3.372,-4.28,1.128,-0.03
2020,8,-23.006,-23.006,62.197,-0.42,-0.555,-60.134,12.363,-21.666,1.448,-0.468
2021,8,43.186,43.186,25.188,1.55,2.155,-14.363,6.728,-5.414,1.184,0.091
2016,9,13.636,13.636,24.495,0.524,0.772,-17.024,7.074,-4.563,0.915,0.032
2017,9,47.738,47.738,23.776,1.648,2.61,-15.397,9.912,-5.446,1.631,0.116
2018,9,-20.676,-20.676,32.443,-0.717,-0.937,-43.956,5.761,-8.327,1.237,-0.143
2019,9,20.414,20.414,30.506,0.61,0.789,-17.118,5.202,-14.202,1.246,-0.129
2020,9,44.423,44.423,35.659,1.031,1.456,-24.269,8.535,-9.783,0.613,0.28
2021,9,-13.098,-13.098,21.874,-0.698,-0.842,-26.401,4.574,-5.34,0.752,-0.378
